scenario,image,dataset,tp,fp,fn,confidence,best_iou,latency_ms,outcome
Distancia corta,TFD-7403.png,dataset_publico_placas_smallfar,1,0,0,0.7030020356178284,0.9729133659283852,34.237800049595535,TP
Distancia corta,MOR-4532.png,dataset_alpr,1,0,0,0.6742675304412842,0.9159907391705695,31.730299931950867,TP
Distancia corta,WKT-8868.png,dataset_publico_placas,1,0,0,0.7258579730987549,0.9654547928735903,31.824400066398084,TP
Distancia corta,MGV 3566.png,dataset_alpr,1,0,0,0.740764856338501,0.9074603438689843,31.769699999131262,TP
Distancia corta,EMK-5209.png,dataset_alpr,1,0,0,0.70860356092453,0.9172122499119432,31.938600004650652,TP
Distancia corta,PES-7632.png,dataset_alpr,1,0,0,0.5704917907714844,0.922674021680361,32.27880003396422,TP
Distancia corta,KQN-5840.png,dataset_alpr,1,0,0,0.7374640703201294,0.9156715553954556,31.751599977724254,TP
Distancia corta,MTV 9649.png,dataset_alpr,1,0,0,0.7455151081085205,0.9194463691035245,31.87420009635389,TP
Distancia corta,AUX-9963.png,dataset_alpr,1,0,0,0.7631274461746216,0.9069710603909356,32.12069999426603,TP
Distancia corta,PBQ-1245.png,dataset_alpr,1,0,0,0.7481598854064941,0.91283162919409,31.74480004236102,TP
Distancia corta,BAR-6947.png,dataset_alpr,1,0,0,0.7375574111938477,0.9225502444922185,32.503000111319125,TP
Distancia corta,FGL-3903.png,dataset_alpr,1,0,0,0.6086137294769287,0.9207004996560654,32.22289995756,TP
Distancia corta,SJM-9546.png,dataset_alpr,1,0,0,0.7489653825759888,0.9078570623524732,32.37629996147007,TP
Distancia corta,KLY-2191.png,dataset_alpr,1,0,0,0.6724557876586914,0.9226879410362379,32.55080000963062,TP
Distancia corta,YLC -1265.png,dataset_alpr,1,0,0,0.7163261771202087,0.9150196575863988,32.30469999834895,TP
Distancia corta,BBN-6906.png,dataset_alpr,1,0,0,0.7614951133728027,0.9180984716184939,41.47649998776615,TP
Distancia corta,BUG-9503.png,dataset_alpr,1,0,0,0.7069467902183533,0.9062541277366019,32.18490001745522,TP
Distancia corta,ILO-7615.png,dataset_alpr,1,0,0,0.7320781946182251,0.9098147417461202,33.74780004378408,TP
Distancia corta,XZP-5240.png,dataset_alpr,1,0,0,0.5902771949768066,0.9346611648685927,32.40420005749911,TP
Distancia corta,AAZ-4977.png,dataset_alpr,1,0,0,0.625406801700592,0.9125819380446776,32.04249998088926,TP
